,Probabilities,Epoch,Number_of_samples
0,[0.2-0.3],30,1
0,[0.2-0.3],31,1
0,[0.2-0.3],32,2
0,[0.2-0.3],33,2
0,[0.2-0.3],34,2
0,[0.2-0.3],35,1
0,[0.2-0.3],36,2
0,[0.2-0.3],37,1
0,[0.2-0.3],38,1
0,[0.2-0.3],39,0
0,[0.2-0.3],40,1
0,[0.2-0.3],41,1
0,[0.2-0.3],42,1
0,[0.2-0.3],43,0
0,[0.2-0.3],44,0
0,[0.2-0.3],45,1
0,[0.2-0.3],46,1
0,[0.2-0.3],47,1
0,[0.2-0.3],48,1
0,[0.2-0.3],49,0
0,[0.2-0.3],50,1
0,[0.2-0.3],51,0
0,[0.2-0.3],52,1
0,[0.2-0.3],53,0
0,[0.2-0.3],54,1
0,[0.2-0.3],55,2
0,[0.2-0.3],56,1
0,[0.2-0.3],57,0
0,[0.2-0.3],58,0
0,[0.2-0.3],59,0
0,[0.2-0.3],60,0
0,[0.2-0.3],61,0
0,[0.2-0.3],62,0
0,[0.2-0.3],63,0
0,[0.2-0.3],64,0
0,[0.2-0.3],65,1
0,[0.2-0.3],66,0
0,[0.2-0.3],67,0
0,[0.2-0.3],68,0
0,[0.2-0.3],69,0
0,[0.2-0.3],70,0
0,[0.2-0.3],71,0
0,[0.2-0.3],72,1
0,[0.2-0.3],73,1
0,[0.2-0.3],74,1
0,[0.2-0.3],75,0
0,[0.2-0.3],76,0
0,[0.2-0.3],77,0
0,[0.2-0.3],78,0
0,[0.2-0.3],79,1
0,[0.2-0.3],80,1
0,[0.2-0.3],81,0
0,[0.2-0.3],82,0
0,[0.2-0.3],83,0
0,[0.2-0.3],84,0
0,[0.2-0.3],85,1
0,[0.2-0.3],86,1
0,[0.2-0.3],87,0
0,[0.2-0.3],88,0
0,[0.2-0.3],89,0
0,[0.2-0.3],90,2
0,[0.2-0.3],91,0
0,[0.2-0.3],92,0
0,[0.2-0.3],93,1
0,[0.2-0.3],94,0
0,[0.2-0.3],95,1
0,[0.2-0.3],96,0
0,[0.2-0.3],97,0
0,[0.2-0.3],98,0
0,[0.2-0.3],99,1
0,[0.3-0.4],0,0
0,[0.3-0.4],1,0
0,[0.3-0.4],2,0
0,[0.3-0.4],3,0
0,[0.3-0.4],4,0
0,[0.3-0.4],5,0
0,[0.3-0.4],6,0
0,[0.3-0.4],7,0
0,[0.3-0.4],8,0
0,[0.3-0.4],9,0
0,[0.3-0.4],10,0
0,[0.3-0.4],11,0
0,[0.3-0.4],12,0
0,[0.3-0.4],13,0
0,[0.3-0.4],14,0
0,[0.3-0.4],15,0
0,[0.3-0.4],16,0
0,[0.3-0.4],17,0
0,[0.3-0.4],18,0
0,[0.3-0.4],19,0
0,[0.3-0.4],20,0
0,[0.3-0.4],21,0
0,[0.3-0.4],22,0
0,[0.3-0.4],23,0
0,[0.3-0.4],24,0
0,[0.3-0.4],25,1
0,[0.3-0.4],26,2
0,[0.3-0.4],27,2
0,[0.3-0.4],28,0
0,[0.3-0.4],29,0
0,[0.3-0.4],30,0
0,[0.3-0.4],31,0
0,[0.3-0.4],32,0
0,[0.3-0.4],33,1
0,[0.3-0.4],34,1
0,[0.3-0.4],35,2
0,[0.3-0.4],36,1
0,[0.3-0.4],37,1
0,[0.3-0.4],38,1
0,[0.3-0.4],39,1
0,[0.3-0.4],40,1
0,[0.3-0.4],41,0
0,[0.3-0.4],42,0
0,[0.3-0.4],43,1
0,[0.3-0.4],44,1
0,[0.3-0.4],45,0
0,[0.3-0.4],46,0
0,[0.3-0.4],47,1
0,[0.3-0.4],48,1
0,[0.3-0.4],49,1
0,[0.3-0.4],50,0
0,[0.3-0.4],51,1
0,[0.3-0.4],52,1
0,[0.3-0.4],53,2
0,[0.3-0.4],54,0
0,[0.3-0.4],55,1
0,[0.3-0.4],56,1
0,[0.3-0.4],57,1
0,[0.3-0.4],58,0
0,[0.3-0.4],59,1
0,[0.3-0.4],60,2
0,[0.3-0.4],61,0
0,[0.3-0.4],62,0
0,[0.3-0.4],63,0
0,[0.3-0.4],64,0
0,[0.3-0.4],65,0
0,[0.3-0.4],66,0
0,[0.3-0.4],67,1
0,[0.3-0.4],68,0
0,[0.3-0.4],69,0
0,[0.3-0.4],70,0
0,[0.3-0.4],71,2
0,[0.3-0.4],72,0
0,[0.3-0.4],73,0
0,[0.3-0.4],74,0
0,[0.3-0.4],75,1
0,[0.3-0.4],76,1
0,[0.3-0.4],77,1
0,[0.3-0.4],78,0
0,[0.3-0.4],79,0
0,[0.3-0.4],80,0
0,[0.3-0.4],81,0
0,[0.3-0.4],82,1
0,[0.3-0.4],83,0
0,[0.3-0.4],84,0
0,[0.3-0.4],85,0
0,[0.3-0.4],86,0
0,[0.3-0.4],87,0
0,[0.3-0.4],88,0
0,[0.3-0.4],89,0
0,[0.3-0.4],90,0
0,[0.3-0.4],91,1
0,[0.3-0.4],92,1
0,[0.3-0.4],93,0
0,[0.3-0.4],94,0
0,[0.3-0.4],95,0
0,[0.3-0.4],96,1
0,[0.3-0.4],97,0
0,[0.3-0.4],98,0
0,[0.3-0.4],99,0
0,[0.4-0.5],0,0
0,[0.4-0.5],1,0
0,[0.4-0.5],2,0
0,[0.4-0.5],3,0
0,[0.4-0.5],4,0
0,[0.4-0.5],5,0
0,[0.4-0.5],6,0
0,[0.4-0.5],7,0
0,[0.4-0.5],8,0
0,[0.4-0.5],9,0
0,[0.4-0.5],10,0
0,[0.4-0.5],11,0
0,[0.4-0.5],12,0
0,[0.4-0.5],13,0
0,[0.4-0.5],14,0
0,[0.4-0.5],15,0
0,[0.4-0.5],16,0
0,[0.4-0.5],17,0
0,[0.4-0.5],18,0
0,[0.4-0.5],19,0
0,[0.4-0.5],20,0
0,[0.4-0.5],21,0
0,[0.4-0.5],22,0
0,[0.4-0.5],23,0
0,[0.4-0.5],24,0
0,[0.4-0.5],25,0
0,[0.4-0.5],26,0
0,[0.4-0.5],27,0
0,[0.4-0.5],28,2
0,[0.4-0.5],29,2
0,[0.4-0.5],30,0
0,[0.4-0.5],31,0
0,[0.4-0.5],32,0
0,[0.4-0.5],33,0
0,[0.4-0.5],34,0
0,[0.4-0.5],35,0
0,[0.4-0.5],36,1
0,[0.4-0.5],37,1
0,[0.4-0.5],38,0
0,[0.4-0.5],39,1
0,[0.4-0.5],40,0
0,[0.4-0.5],41,1
0,[0.4-0.5],42,0
0,[0.4-0.5],43,1
0,[0.4-0.5],44,0
0,[0.4-0.5],45,0
0,[0.4-0.5],46,0
0,[0.4-0.5],47,0
0,[0.4-0.5],48,1
0,[0.4-0.5],49,1
0,[0.4-0.5],50,1
0,[0.4-0.5],51,2
0,[0.4-0.5],52,1
0,[0.4-0.5],53,1
0,[0.4-0.5],54,2
0,[0.4-0.5],55,0
0,[0.4-0.5],56,0
0,[0.4-0.5],57,2
0,[0.4-0.5],58,2
0,[0.4-0.5],59,0
0,[0.4-0.5],60,0
0,[0.4-0.5],61,0
0,[0.4-0.5],62,1
0,[0.4-0.5],63,0
0,[0.4-0.5],64,1
0,[0.4-0.5],65,2
0,[0.4-0.5],66,1
0,[0.4-0.5],67,0
0,[0.4-0.5],68,1
0,[0.4-0.5],69,1
0,[0.4-0.5],70,0
0,[0.4-0.5],71,0
0,[0.4-0.5],72,0
0,[0.4-0.5],73,0
0,[0.4-0.5],74,0
0,[0.4-0.5],75,0
0,[0.4-0.5],76,1
0,[0.4-0.5],77,1
0,[0.4-0.5],78,1
0,[0.4-0.5],79,0
0,[0.4-0.5],80,2
0,[0.4-0.5],81,0
0,[0.4-0.5],82,0
0,[0.4-0.5],83,0
0,[0.4-0.5],84,0
0,[0.4-0.5],85,0
0,[0.4-0.5],86,0
0,[0.4-0.5],87,1
0,[0.4-0.5],88,1
0,[0.4-0.5],89,0
0,[0.4-0.5],90,0
0,[0.4-0.5],91,0
0,[0.4-0.5],92,0
0,[0.4-0.5],93,0
0,[0.4-0.5],94,2
0,[0.4-0.5],95,0
0,[0.4-0.5],96,0
0,[0.4-0.5],97,0
0,[0.4-0.5],98,1
0,[0.4-0.5],99,0
0,[0.5-0.6],0,0
0,[0.5-0.6],1,0
0,[0.5-0.6],2,0
0,[0.5-0.6],3,0
0,[0.5-0.6],4,0
0,[0.5-0.6],5,0
0,[0.5-0.6],6,0
0,[0.5-0.6],7,0
0,[0.5-0.6],8,0
0,[0.5-0.6],9,0
0,[0.5-0.6],10,0
0,[0.5-0.6],11,0
0,[0.5-0.6],12,0
0,[0.5-0.6],13,0
0,[0.5-0.6],14,0
0,[0.5-0.6],15,0
0,[0.5-0.6],16,0
0,[0.5-0.6],17,0
0,[0.5-0.6],18,0
0,[0.5-0.6],19,0
0,[0.5-0.6],20,0
0,[0.5-0.6],21,0
0,[0.5-0.6],22,0
0,[0.5-0.6],23,0
0,[0.5-0.6],24,0
0,[0.5-0.6],25,0
0,[0.5-0.6],26,0
0,[0.5-0.6],27,0
0,[0.5-0.6],28,0
0,[0.5-0.6],29,0
0,[0.5-0.6],30,2
0,[0.5-0.6],31,2
0,[0.5-0.6],32,0
0,[0.5-0.6],33,0
0,[0.5-0.6],34,0
0,[0.5-0.6],35,0
0,[0.5-0.6],36,0
0,[0.5-0.6],37,0
0,[0.5-0.6],38,2
0,[0.5-0.6],39,1
0,[0.5-0.6],40,2
0,[0.5-0.6],41,2
0,[0.5-0.6],42,2
0,[0.5-0.6],43,1
0,[0.5-0.6],44,1
0,[0.5-0.6],45,1
0,[0.5-0.6],46,0
0,[0.5-0.6],47,1
0,[0.5-0.6],48,0
0,[0.5-0.6],49,0
0,[0.5-0.6],50,1
0,[0.5-0.6],51,0
0,[0.5-0.6],52,0
0,[0.5-0.6],53,0
0,[0.5-0.6],54,0
0,[0.5-0.6],55,0
0,[0.5-0.6],56,0
0,[0.5-0.6],57,0
0,[0.5-0.6],58,1
0,[0.5-0.6],59,2
0,[0.5-0.6],60,1
0,[0.5-0.6],61,2
0,[0.5-0.6],62,1
0,[0.5-0.6],63,2
0,[0.5-0.6],64,1
0,[0.5-0.6],65,0
0,[0.5-0.6],66,2
0,[0.5-0.6],67,1
0,[0.5-0.6],68,0
0,[0.5-0.6],69,1
0,[0.5-0.6],70,1
0,[0.5-0.6],71,1
0,[0.5-0.6],72,1
0,[0.5-0.6],73,0
0,[0.5-0.6],74,0
0,[0.5-0.6],75,1
0,[0.5-0.6],76,0
0,[0.5-0.6],77,0
0,[0.5-0.6],78,0
0,[0.5-0.6],79,0
0,[0.5-0.6],80,0
0,[0.5-0.6],81,0
0,[0.5-0.6],82,2
0,[0.5-0.6],83,0
0,[0.5-0.6],84,0
0,[0.5-0.6],85,2
0,[0.5-0.6],86,2
0,[0.5-0.6],87,1
0,[0.5-0.6],88,1
0,[0.5-0.6],89,1
0,[0.5-0.6],90,0
0,[0.5-0.6],91,0
0,[0.5-0.6],92,0
0,[0.5-0.6],93,1
0,[0.5-0.6],94,1
0,[0.5-0.6],95,0
0,[0.5-0.6],96,1
0,[0.5-0.6],97,0
0,[0.5-0.6],98,1
0,[0.5-0.6],99,0
0,[0.6-0.7],0,0
0,[0.6-0.7],1,0
0,[0.6-0.7],2,0
0,[0.6-0.7],3,0
0,[0.6-0.7],4,0
0,[0.6-0.7],5,0
0,[0.6-0.7],6,0
0,[0.6-0.7],7,0
0,[0.6-0.7],8,0
0,[0.6-0.7],9,0
0,[0.6-0.7],10,0
0,[0.6-0.7],11,0
0,[0.6-0.7],12,0
0,[0.6-0.7],13,0
0,[0.6-0.7],14,0
0,[0.6-0.7],15,0
0,[0.6-0.7],16,0
0,[0.6-0.7],17,0
0,[0.6-0.7],18,0
0,[0.6-0.7],19,0
0,[0.6-0.7],20,0
0,[0.6-0.7],21,0
0,[0.6-0.7],22,0
0,[0.6-0.7],23,0
0,[0.6-0.7],24,0
0,[0.6-0.7],25,0
0,[0.6-0.7],26,0
0,[0.6-0.7],27,0
0,[0.6-0.7],28,0
0,[0.6-0.7],29,0
0,[0.6-0.7],30,0
0,[0.6-0.7],31,0
0,[0.6-0.7],32,2
0,[0.6-0.7],33,2
0,[0.6-0.7],34,0
0,[0.6-0.7],35,0
0,[0.6-0.7],36,0
0,[0.6-0.7],37,0
0,[0.6-0.7],38,0
0,[0.6-0.7],39,0
0,[0.6-0.7],40,0
0,[0.6-0.7],41,0
0,[0.6-0.7],42,1
0,[0.6-0.7],43,0
0,[0.6-0.7],44,1
0,[0.6-0.7],45,1
0,[0.6-0.7],46,1
0,[0.6-0.7],47,0
0,[0.6-0.7],48,0
0,[0.6-0.7],49,0
0,[0.6-0.7],50,0
0,[0.6-0.7],51,0
0,[0.6-0.7],52,0
0,[0.6-0.7],53,0
0,[0.6-0.7],54,0
0,[0.6-0.7],55,0
0,[0.6-0.7],56,1
0,[0.6-0.7],57,0
0,[0.6-0.7],58,0
0,[0.6-0.7],59,0
0,[0.6-0.7],60,0
0,[0.6-0.7],61,1
0,[0.6-0.7],62,1
0,[0.6-0.7],63,0
0,[0.6-0.7],64,1
0,[0.6-0.7],65,0
0,[0.6-0.7],66,0
0,[0.6-0.7],67,1
0,[0.6-0.7],68,2
0,[0.6-0.7],69,1
0,[0.6-0.7],70,1
0,[0.6-0.7],71,0
0,[0.6-0.7],72,1
0,[0.6-0.7],73,1
0,[0.6-0.7],74,0
0,[0.6-0.7],75,0
0,[0.6-0.7],76,1
0,[0.6-0.7],77,2
0,[0.6-0.7],78,1
0,[0.6-0.7],79,2
0,[0.6-0.7],80,0
0,[0.6-0.7],81,2
0,[0.6-0.7],82,0
0,[0.6-0.7],83,0
0,[0.6-0.7],84,1
0,[0.6-0.7],85,0
0,[0.6-0.7],86,0
0,[0.6-0.7],87,0
0,[0.6-0.7],88,0
0,[0.6-0.7],89,2
0,[0.6-0.7],90,0
0,[0.6-0.7],91,0
0,[0.6-0.7],92,0
0,[0.6-0.7],93,0
0,[0.6-0.7],94,0
0,[0.6-0.7],95,0
0,[0.6-0.7],96,0
0,[0.6-0.7],97,0
0,[0.6-0.7],98,0
0,[0.6-0.7],99,1
0,[0.7-0.8],0,0
0,[0.7-0.8],1,0
0,[0.7-0.8],2,0
0,[0.7-0.8],3,0
0,[0.7-0.8],4,0
0,[0.7-0.8],5,0
0,[0.7-0.8],6,0
0,[0.7-0.8],7,0
0,[0.7-0.8],8,0
0,[0.7-0.8],9,0
0,[0.7-0.8],10,0
0,[0.7-0.8],11,0
0,[0.7-0.8],12,0
0,[0.7-0.8],13,0
0,[0.7-0.8],14,0
0,[0.7-0.8],15,0
0,[0.7-0.8],16,0
0,[0.7-0.8],17,0
0,[0.7-0.8],18,0
0,[0.7-0.8],19,0
0,[0.7-0.8],20,0
0,[0.7-0.8],21,0
0,[0.7-0.8],22,0
0,[0.7-0.8],23,0
0,[0.7-0.8],24,0
0,[0.7-0.8],25,0
0,[0.7-0.8],26,0
0,[0.7-0.8],27,0
0,[0.7-0.8],28,0
0,[0.7-0.8],29,0
0,[0.7-0.8],30,0
0,[0.7-0.8],31,0
0,[0.7-0.8],32,0
0,[0.7-0.8],33,0
0,[0.7-0.8],34,2
0,[0.7-0.8],35,2
0,[0.7-0.8],36,0
0,[0.7-0.8],37,0
0,[0.7-0.8],38,0
0,[0.7-0.8],39,0
0,[0.7-0.8],40,0
0,[0.7-0.8],41,0
0,[0.7-0.8],42,0
0,[0.7-0.8],43,1
0,[0.7-0.8],44,0
0,[0.7-0.8],45,0
0,[0.7-0.8],46,1
0,[0.7-0.8],47,1
0,[0.7-0.8],48,1
0,[0.7-0.8],49,1
0,[0.7-0.8],50,1
0,[0.7-0.8],51,0
0,[0.7-0.8],52,0
0,[0.7-0.8],53,0
0,[0.7-0.8],54,0
0,[0.7-0.8],55,1
0,[0.7-0.8],56,0
0,[0.7-0.8],57,0
0,[0.7-0.8],58,0
0,[0.7-0.8],59,0
0,[0.7-0.8],60,1
0,[0.7-0.8],61,0
0,[0.7-0.8],62,1
0,[0.7-0.8],63,2
0,[0.7-0.8],64,0
0,[0.7-0.8],65,1
0,[0.7-0.8],66,0
0,[0.7-0.8],67,1
0,[0.7-0.8],68,0
0,[0.7-0.8],69,0
0,[0.7-0.8],70,1
0,[0.7-0.8],71,0
0,[0.7-0.8],72,0
0,[0.7-0.8],73,1
0,[0.7-0.8],74,2
0,[0.7-0.8],75,2
0,[0.7-0.8],76,0
0,[0.7-0.8],77,0
0,[0.7-0.8],78,0
0,[0.7-0.8],79,0
0,[0.7-0.8],80,0
0,[0.7-0.8],81,1
0,[0.7-0.8],82,0
0,[0.7-0.8],83,1
0,[0.7-0.8],84,1
0,[0.7-0.8],85,0
0,[0.7-0.8],86,0
0,[0.7-0.8],87,0
0,[0.7-0.8],88,0
0,[0.7-0.8],89,0
0,[0.7-0.8],90,0
0,[0.7-0.8],91,0
0,[0.7-0.8],92,0
0,[0.7-0.8],93,0
0,[0.7-0.8],94,0
0,[0.7-0.8],95,0
0,[0.7-0.8],96,0
0,[0.7-0.8],97,0
0,[0.7-0.8],98,0
0,[0.7-0.8],99,0
0,[0.8-0.9],0,0
0,[0.8-0.9],1,0
0,[0.8-0.9],2,0
0,[0.8-0.9],3,0
0,[0.8-0.9],4,0
0,[0.8-0.9],5,0
0,[0.8-0.9],6,0
0,[0.8-0.9],7,0
0,[0.8-0.9],8,0
0,[0.8-0.9],9,0
0,[0.8-0.9],10,0
0,[0.8-0.9],11,0
0,[0.8-0.9],12,0
0,[0.8-0.9],13,0
0,[0.8-0.9],14,0
0,[0.8-0.9],15,0
0,[0.8-0.9],16,0
0,[0.8-0.9],17,0
0,[0.8-0.9],18,0
0,[0.8-0.9],19,0
0,[0.8-0.9],20,0
0,[0.8-0.9],21,0
0,[0.8-0.9],22,0
0,[0.8-0.9],23,0
0,[0.8-0.9],24,0
0,[0.8-0.9],25,0
0,[0.8-0.9],26,0
0,[0.8-0.9],27,0
0,[0.8-0.9],28,0
0,[0.8-0.9],29,0
